fiscal_year,primary_address_line_1,State_code,X_COORDINATE,Y_COORDINATE,Long,Lat,Community_district,Council-district,Census_tract,Borough_block_lot,NTA,NTA_Name,Geographical_District_code,Administrative_District_Code,Administrative_District_Name,Community_district 1,Police_precinct
2020,5800 TILDEN AVENUE,NY,1005836,175271,-73.922212,40.647728,317,45,93600,3047420001,BK96,Rugby-Remsen Village,18,18,NULL,317,67
2020,3000 AVENUE X,NY,1001848,155386,-73.936635,40.593157,315,48,62600,3074250002,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,22,22,NULL,315,61
2020,76 RIVERDALE AVENUE,NY,1008247,179605,-73.913508,40.659618,316,42,89600,3035970011,BK81,Brownsville,23,23,COMMUNITY SCHOOL DISTRICT 23,316,73
2020,50 BEDFORD AVENUE,NY,997187,202123,-73.953328,40.721448,301,33,51700,3026700001,BK73,North Side-South Side,14,14,NULL,301,94
2020,1600 ROCKAWAY PARKWAY,NY,1012391,172660,-73.898601,40.640543,318,46,99000,3082220001,BK50,Canarsie,18,18,NULL,318,69
2020,76 RIVERDALE AVENUE,NY,1008247,179605,-73.913508,40.659618,316,42,89600,3035970011,BK81,Brownsville,23,23,COMMUNITY SCHOOL DISTRICT 23,316,73
2020,755 EAST  100 STREET,NY,1012387,174635,-73.898607,40.645965,318,46,974,3081880001,BK50,Canarsie,19,18,NULL,318,69
2020,755 EAST  100 STREET,NY,1012387,174635,-73.898607,40.645965,318,46,974,3081880001,BK50,Canarsie,19,18,NULL,318,69
2020,280 HART STREET,NY,1000534,191999,-73.941278,40.693654,303,36,28100,3017730014,BK35,Stuyvesant Heights,16,16,COMMUNITY SCHOOL DISTRICT 16,303,79
2020,6565 FLATLANDS AVENUE,NY,1007307,170435,-73.916927,40.634451,318,46,95000,3079980005,BK50,Canarsie,18,18,NULL,318,69
2020,999 JAMAICA AVENUE,NY,1020493,191783,-73.869305,40.693002,305,37,118000,3040940001,BK99,park-cemetery-etc-Brooklyn,19,19,NULL,305,75
